zona;código.x;Freq.x;personas;comuna;promedio_i;año;ingresos_expandidos;Freq.y;p;código.y;multipob;est_ing;ing_medio_zona;identificador
1107031001;01107;1826;108375;Alto Hospicio;311571,723143033;2017;33766585495,626148;4195;3,87081891580161e-02;01107;1307043378,585021257;1517333161,601883650;361700,3960910331;region_01
1107031002;01107;2589;108375;Alto Hospicio;311571,723143033;2017;33766585495,626148;7099;6,55040369088812e-02;01107;2211847662,592388153;2201534666,532699585;310118,9838755739;region_01
1107031003;01107;1833;108375;Alto Hospicio;311571,723143033;2017;33766585495,626148;4720;4,35524798154556e-02;01107;1470618533,235113621;1523534786,153625011;322782,7936766155;region_01
1107041001;01107;1405;108375;Alto Hospicio;311571,723143033;2017;33766585495,626148;3630;3,34948096885813e-02;01107;1131005355,009207964;1147466076,787340403;316106,3572416916;region_01
1107041002;01107;1996;108375;Alto Hospicio;311571,723143033;2017;33766585495,626148;5358;4,94394463667820e-02;01107;1669401292,600368261;1668375082,645114660;311380,1945959527;region_01
1107041003;01107;1686;108375;Alto Hospicio;311571,723143033;2017;33766585495,626148;4520;4,17070357554787e-02;01107;1408304188,606506824;1393638088,559117794;308327,0107431677;region_01
1107041004;01107;1987;108375;Alto Hospicio;311571,723143033;2017;33766585495,626148;5317;4,90611303344867e-02;01107;1656626851,951503992;1660356764,857982635;312273,2301782928;region_01
1107041005;01107;1349;108375;Alto Hospicio;311571,723143033;2017;33766585495,626148;3725;3,43713956170704e-02;01107;1160604668,707796097;1098775520,026684523;294973,2939668952;region_01
1107041006;01107;1497;108375;Alto Hospicio;311571,723143033;2017;33766585495,626148;4009;3,69919261822376e-02;01107;1249091038,080417395;1227734208,256308079;306244,5019347239;region_01
1107041007;01107;1933;108375;Alto Hospicio;311571,723143033;2017;33766585495,626148;5217;4,81384083044983e-02;01107;1625469679,637200594;1612297576,363664150;309046,8806524179;region_01
1107991999;01107;314;108375;Alto Hospicio;311571,723143033;2017;33766585495,626148;819;7,55709342560554e-03;01107;255177241,254143655;232284218,418789268;283619,3143086560;region_01
1401011001;01401;1122;15711;Pozo Almonte;316138,494252874;2017;4966851883,206897;2771;1,76373241677805e-01;01401;876019767,574712753;902829304,526328683;325813,5346540341;region_01
1401011002;01401;2247;15711;Pozo Almonte;316138,494252874;2017;4966851883,206897;6506;4,14104767360448e-01;01401;2056797043,609195232;1892924752,997620106;290950,6229630527;region_01
1401991999;01401;737;15711;Pozo Almonte;316138,494252874;2017;4966851883,206897;818;5,20654318630259e-02;01401;258601288,298850566;576802079,911524415;705137,0170067536;region_01
1404011001;01404;448;NA;NA;NA;NA;NA;1082;3,96336996336996e-01;01404;NA;339281985,519622087;NA;region_01
1404991999;01404;21;NA;NA;NA;NA;NA;27;9,89010989010989e-03;01404;NA;12993758,589913303;NA;region_01
1405011001;01405;1520;9296;Pica;330061,060606061;2017;3068247619,393939;3876;4,16953528399312e-01;01405;1279316670,909090996;1247853002,987609625;321943,4992228095;region_01
1405991999;01405;18;9296;Pica;330061,060606061;2017;3068247619,393939;36;3,87263339070568e-03;01405;11882198,181818182;11024706,260156453;306241,8405599014;region_01
2101011001;02101;1859;361873;Antofagasta;368221,356771735;2017;133249367039,058182;4618;1,27613831371780e-02;02101;1700446225,571873665;1712746635,519205570;370884,9362319631;region_02
2101011002;02101;1556;361873;Antofagasta;368221,356771735;2017;133249367039,058182;3644;1,00698311286004e-02;02101;1341798624,076203585;1412863519,400643826;387723,2490122513;region_02
2101011003;02101;2294;361873;Antofagasta;368221,356771735;2017;133249367039,058182;5645;1,55993953679882e-02;02101;2078609558,976445913;2150203296,239009857;380904,0383062905;region_02
2101011004;02101;1957;361873;Antofagasta;368221,356771735;2017;133249367039,058182;4385;1,21175108394381e-02;02101;1614650649,444059372;1810632620,442035913;412915,0787781154;region_02
2101011005;02101;899;361873;Antofagasta;368221,356771735;2017;133249367039,058182;2383;6,58518319963081e-03;02101;877471493,187045336;780465895,780787945;327514,0141757398;region_02
2101011006;02101;817;361873;Antofagasta;368221,356771735;2017;133249367039,058182;1466;4,05114501496381e-03;02101;539812509,027364016;703748046,423958063;480046,4163874202;region_02
2101011008;02101;2484;361873;Antofagasta;368221,356771735;2017;133249367039,058182;6487;1,79261785211939e-02;02101;2388651941,378246784;2343503754,567164421;361261,5622887567;region_02
2101011009;02101;2485;361873;Antofagasta;368221,356771735;2017;133249367039,058182;6152;1,70004393806667e-02;02101;2265297786,859715939;2344524414,095378399;381099,5471546454;region_02
2101011010;02101;1858;361873;Antofagasta;368221,356771735;2017;133249367039,058182;4495;1,24214848855814e-02;02101;1655154998,688950539;1711749936,909634113;380811,9993124881;region_02
2101011011;02101;1034;361873;Antofagasta;368221,356771735;2017;133249367039,058182;2445;6,75651402563883e-03;02101;900301217,306892872;908002276,131412148;371371,0740823771;region_02
2101011012;02101;1741;361873;Antofagasta;368221,356771735;2017;133249367039,058182;4275;1,18135367932949e-02;02101;1574146300,199168682;1595445188,684685707;373203,5529086984;region_02
2101011013;02101;1202;361873;Antofagasta;368221,356771735;2017;133249367039,058182;2947;8,14374103621989e-03;02101;1085148338,406304121;1068615182,778529763;362611,1919845706;region_02
2101011014;02101;2581;361873;Antofagasta;368221,356771735;2017;133249367039,058182;6247;1,72629624205177e-02;02101;2300278815,753030777;2442662424,307422638;391013,6744529250;region_02
2101011015;02101;1205;361873;Antofagasta;368221,356771735;2017;133249367039,058182;2887;7,97793701105084e-03;02101;1063055056,999999881;1071500822,586666942;371146,8038055653;region_02
2101011016;02101;661;361873;Antofagasta;368221,356771735;2017;133249367039,058182;1643;4,54026688921251e-03;02101;604987689,175961137;559585443,622076988;340587,6102386348;region_02
2101011017;02101;1983;361873;Antofagasta;368221,356771735;2017;133249367039,058182;4126;1,14017901307917e-02;02101;1519281318,040179968;1836670619,324491024;445145,5693951747;region_02
2101011018;02101;1845;361873;Antofagasta;368221,356771735;2017;133249367039,058182;4567;1,26204497157843e-02;02101;1681666936,376515388;1698796857,489011526;371972,1606063086;region_02
2101011019;02101;721;361873;Antofagasta;368221,356771735;2017;133249367039,058182;1843;5,09294697310935e-03;02101;678631960,530308127;614735131,318148017;333551,3463473403;region_02
2101011020;02101;1138;361873;Antofagasta;368221,356771735;2017;133249367039,058182;2874;7,94201280559754e-03;02101;1058268179,361967325;1007197489,077922463;350451,4575775652;region_02
2101011021;02101;1182;361873;Antofagasta;368221,356771735;2017;133249367039,058182;2753;7,60764135483996e-03;02101;1013713395,192587376;1049392709,653168917;381181,5145852412;region_02
2101011022;02101;1009;361873;Antofagasta;368221,356771735;2017;133249367039,058182;2805;7,75133817665314e-03;02101;1032860905,744717717;884275811,893286228;315249,8438122232;region_02
2101021001;02101;1375;361873;Antofagasta;368221,356771735;2017;133249367039,058182;3642;1,00643043277614e-02;02101;1341062181,362660170;1235942862,535736322;339358,2818604438;region_02
